region_id,site,n_pe,n_ctrl,beta_pe,beta_ctrl,delta,p,fdr,dir_site,pos,chr,type,symbol
547,chr1_53188348,0,1,,,,,,,53188348,chr1,gene_body,LOC105378724
547,chr1_53188454,1,0,,,,,,,53188454,chr1,gene_body,LOC105378724
547,chr1_53188458,1,2,,,,,,,53188458,chr1,gene_body,LOC105378724
547,chr1_53189229,0,1,,,,,,,53189229,chr1,gene_body,LOC105378724
547,chr1_53189244,0,1,,,,,,,53189244,chr1,gene_body,LOC105378724
547,chr1_53189388,1,0,,,,,,,53189388,chr1,gene_body,LOC105378724
547,chr1_53189660,3,0,,,,,,,53189660,chr1,gene_body,LOC105378724
547,chr1_53189661,2,0,,,,,,,53189661,chr1,gene_body,LOC105378724
547,chr1_53189742,2,0,,,,,,,53189742,chr1,gene_body,LOC105378724
547,chr1_53190569,1,1,,,,,,,53190569,chr1,gene_body,LOC105378724
547,chr1_53190576,1,1,,,,,,,53190576,chr1,gene_body,LOC105378724
547,chr1_53191385,0,1,,,,,,,53191385,chr1,gene_body,LOC105378724
547,chr1_53191413,0,1,,,,,,,53191413,chr1,gene_body,LOC105378724
547,chr1_53191422,0,1,,,,,,,53191422,chr1,gene_body,LOC105378724
547,chr1_53191431,0,1,,,,,,,53191431,chr1,gene_body,LOC105378724
603,chr1_63173900,1,1,,,,,,,63173900,chr1,gene_body,LOC105378770
603,chr1_63174421,1,0,,,,,,,63174421,chr1,gene_body,LOC105378770
603,chr1_63174618,0,1,,,,,,,63174618,chr1,gene_body,LOC105378770
603,chr1_63176573,1,0,,,,,,,63176573,chr1,gene_body,LOC105378770
603,chr1_63177184,1,0,,,,,,,63177184,chr1,gene_body,LOC105378770
603,chr1_63177699,1,0,,,,,,,63177699,chr1,gene_body,LOC105378770
603,chr1_63177700,1,0,,,,,,,63177700,chr1,gene_body,LOC105378770
603,chr1_63177714,1,0,,,,,,,63177714,chr1,gene_body,LOC105378770
603,chr1_63177715,1,0,,,,,,,63177715,chr1,gene_body,LOC105378770
603,chr1_63177720,1,0,,,,,,,63177720,chr1,gene_body,LOC105378770
603,chr1_63177721,1,0,,,,,,,63177721,chr1,gene_body,LOC105378770
603,chr1_63177874,1,0,,,,,,,63177874,chr1,gene_body,LOC105378770
603,chr1_63178007,0,1,,,,,,,63178007,chr1,gene_body,LOC105378770
603,chr1_63178013,0,3,,,,,,,63178013,chr1,gene_body,LOC105378770
603,chr1_63178014,0,1,,,,,,,63178014,chr1,gene_body,LOC105378770
603,chr1_63178037,0,3,,,,,,,63178037,chr1,gene_body,LOC105378770
603,chr1_63178038,0,1,,,,,,,63178038,chr1,gene_body,LOC105378770
603,chr1_63178045,0,3,,,,,,,63178045,chr1,gene_body,LOC105378770
603,chr1_63178046,0,1,,,,,,,63178046,chr1,gene_body,LOC105378770
603,chr1_63178068,0,2,,,,,,,63178068,chr1,gene_body,LOC105378770
603,chr1_63179110,1,0,,,,,,,63179110,chr1,gene_body,LOC105378770
603,chr1_63179111,0,1,,,,,,,63179111,chr1,gene_body,LOC105378770
603,chr1_63179282,1,0,,,,,,,63179282,chr1,gene_body,LOC105378770
603,chr1_63179742,0,1,,,,,,,63179742,chr1,gene_body,LOC105378770
603,chr1_63179783,0,2,,,,,,,63179783,chr1,gene_body,LOC105378770
603,chr1_63179876,0,1,,,,,,,63179876,chr1,gene_body,LOC105378770
603,chr1_63179877,0,2,,,,,,,63179877,chr1,gene_body,LOC105378770
603,chr1_63179880,6,2,,,,,,,63179880,chr1,gene_body,LOC105378770
603,chr1_63179881,0,3,,,,,,,63179881,chr1,gene_body,LOC105378770
603,chr1_63179886,9,15,,,,,,,63179886,chr1,gene_body,LOC105378770
603,chr1_63179887,0,3,,,,,,,63179887,chr1,gene_body,LOC105378770
603,chr1_63179896,9,15,,,,,,,63179896,chr1,gene_body,LOC105378770
603,chr1_63179897,0,3,,,,,,,63179897,chr1,gene_body,LOC105378770
603,chr1_63179924,9,15,,,,,,,63179924,chr1,gene_body,LOC105378770
603,chr1_63179925,0,2,,,,,,,63179925,chr1,gene_body,LOC105378770
603,chr1_63179929,9,15,,,,,,,63179929,chr1,gene_body,LOC105378770
603,chr1_63179930,0,2,,,,,,,63179930,chr1,gene_body,LOC105378770
603,chr1_63179940,9,15,,,,,,,63179940,chr1,gene_body,LOC105378770
603,chr1_63179941,10,12,0.9,1,-0.1,0.38961038961039,1,hypo,63179941,chr1,gene_body,LOC105378770
603,chr1_63179954,9,15,,,,,,,63179954,chr1,gene_body,LOC105378770
603,chr1_63179955,10,12,0.825,1,-0.175,0.155844155844156,1,hypo,63179955,chr1,gene_body,LOC105378770
603,chr1_63179986,10,12,0.875,1,-0.125,0.38961038961039,1,hypo,63179986,chr1,gene_body,LOC105378770
603,chr1_63180031,2,0,,,,,,,63180031,chr1,gene_body,LOC105378770
603,chr1_63180066,1,0,,,,,,,63180066,chr1,gene_body,LOC105378770
603,chr1_63180105,1,0,,,,,,,63180105,chr1,gene_body,LOC105378770
603,chr1_63180122,1,0,,,,,,,63180122,chr1,gene_body,LOC105378770
603,chr1_63181017,0,1,,,,,,,63181017,chr1,gene_body,LOC105378770
603,chr1_63183451,0,2,,,,,,,63183451,chr1,gene_body,LOC105378770
603,chr1_63183521,0,1,,,,,,,63183521,chr1,gene_body,LOC105378770
603,chr1_63183928,1,0,,,,,,,63183928,chr1,gene_body,LOC105378770
603,chr1_63183934,1,0,,,,,,,63183934,chr1,gene_body,LOC105378770
603,chr1_63183944,1,0,,,,,,,63183944,chr1,gene_body,LOC105378770
603,chr1_63183988,1,0,,,,,,,63183988,chr1,gene_body,LOC105378770
603,chr1_63184002,1,0,,,,,,,63184002,chr1,gene_body,LOC105378770
603,chr1_63184074,11,12,0.984848484848485,0.916666666666667,0.0681818181818182,1,1,hyper,63184074,chr1,gene_body,LOC105378770
603,chr1_63184130,1,0,,,,,,,63184130,chr1,gene_body,LOC105378770
603,chr1_63184816,0,1,,,,,,,63184816,chr1,gene_body,LOC105378770
603,chr1_63184830,2,2,,,,,,,63184830,chr1,gene_body,LOC105378770
603,chr1_63184886,2,2,,,,,,,63184886,chr1,gene_body,LOC105378770
603,chr1_63184954,0,1,,,,,,,63184954,chr1,gene_body,LOC105378770
603,chr1_63184955,0,1,,,,,,,63184955,chr1,gene_body,LOC105378770
603,chr1_63184977,0,1,,,,,,,63184977,chr1,gene_body,LOC105378770
603,chr1_63185551,1,1,,,,,,,63185551,chr1,gene_body,LOC105378770
603,chr1_63185605,0,1,,,,,,,63185605,chr1,gene_body,LOC105378770
603,chr1_63187442,1,0,,,,,,,63187442,chr1,gene_body,LOC105378770
603,chr1_63187447,1,0,,,,,,,63187447,chr1,gene_body,LOC105378770
603,chr1_63189290,0,1,,,,,,,63189290,chr1,gene_body,LOC105378770
603,chr1_63190080,0,1,,,,,,,63190080,chr1,gene_body,LOC105378770
603,chr1_63190429,1,0,,,,,,,63190429,chr1,gene_body,LOC105378770
603,chr1_63192380,1,1,,,,,,,63192380,chr1,gene_body,LOC105378770
603,chr1_63192381,0,1,,,,,,,63192381,chr1,gene_body,LOC105378770
603,chr1_63193171,0,1,,,,,,,63193171,chr1,gene_body,LOC105378770
603,chr1_63193344,1,0,,,,,,,63193344,chr1,gene_body,LOC105378770
603,chr1_63193772,1,1,,,,,,,63193772,chr1,gene_body,LOC105378770
603,chr1_63193779,1,1,,,,,,,63193779,chr1,gene_body,LOC105378770
603,chr1_63193789,1,1,,,,,,,63193789,chr1,gene_body,LOC105378770
603,chr1_63193848,2,1,,,,,,,63193848,chr1,gene_body,LOC105378770
603,chr1_63193852,2,1,,,,,,,63193852,chr1,gene_body,LOC105378770
603,chr1_63193945,1,0,,,,,,,63193945,chr1,gene_body,LOC105378770
603,chr1_63193949,1,0,,,,,,,63193949,chr1,gene_body,LOC105378770
603,chr1_63193954,1,0,,,,,,,63193954,chr1,gene_body,LOC105378770
603,chr1_63194269,0,1,,,,,,,63194269,chr1,gene_body,LOC105378770
603,chr1_63194714,1,0,,,,,,,63194714,chr1,gene_body,LOC105378770
603,chr1_63195784,1,0,,,,,,,63195784,chr1,gene_body,LOC105378770
603,chr1_63195789,2,0,,,,,,,63195789,chr1,gene_body,LOC105378770
603,chr1_63195804,15,24,0.966666666666667,0.986111111111111,-0.0194444444444445,0.769230769230769,1,hypo,63195804,chr1,gene_body,LOC105378770
603,chr1_63195815,15,24,0.92,0.958333333333333,-0.0383333333333333,0.651055914213809,1,hypo,63195815,chr1,gene_body,LOC105378770
603,chr1_63195816,19,27,0.889952153110048,0.944191919191919,-0.0542397660818714,0.592036652161439,1,hypo,63195816,chr1,gene_body,LOC105378770
603,chr1_63195826,15,24,0.716666666666667,0.958333333333333,-0.241666666666667,0.0164560845675397,0.912935260366169,hypo,63195826,chr1,gene_body,LOC105378770
603,chr1_63195827,22,28,0.865775890775891,0.925,-0.0592241092241093,0.21127034491123,1,hypo,63195827,chr1,gene_body,LOC105378770
603,chr1_63195889,2,0,,,,,,,63195889,chr1,gene_body,LOC105378770
603,chr1_63195890,22,28,0.856568431568432,0.976190476190476,-0.119622044622045,0.00675024048730565,0.611289460451296,hypo,63195890,chr1,gene_body,LOC105378770
603,chr1_63195898,22,28,0.874317349317349,0.958333333333333,-0.0840159840159841,0.0141251445491181,0.884155698120577,hypo,63195898,chr1,gene_body,LOC105378770
603,chr1_63195914,3,0,,,,,,,63195914,chr1,gene_body,LOC105378770
603,chr1_63195983,3,0,,,,,,,63195983,chr1,gene_body,LOC105378770
603,chr1_63195984,2,0,,,,,,,63195984,chr1,gene_body,LOC105378770
603,chr1_63196015,3,0,,,,,,,63196015,chr1,gene_body,LOC105378770
603,chr1_63196016,2,0,,,,,,,63196016,chr1,gene_body,LOC105378770
603,chr1_63196779,1,0,,,,,,,63196779,chr1,gene_body,LOC105378770
603,chr1_63197348,1,1,,,,,,,63197348,chr1,gene_body,LOC105378770
603,chr1_63197723,2,2,,,,,,,63197723,chr1,gene_body,LOC105378770
603,chr1_63197724,0,1,,,,,,,63197724,chr1,gene_body,LOC105378770
603,chr1_63198338,1,0,,,,,,,63198338,chr1,gene_body,LOC105378770
603,chr1_63198568,1,0,,,,,,,63198568,chr1,gene_body,LOC105378770
603,chr1_63198631,3,1,,,,,,,63198631,chr1,gene_body,LOC105378770
603,chr1_63198632,1,0,,,,,,,63198632,chr1,gene_body,LOC105378770
603,chr1_63198649,3,1,,,,,,,63198649,chr1,gene_body,LOC105378770
603,chr1_63198650,1,0,,,,,,,63198650,chr1,gene_body,LOC105378770
612,chr1_64203626,5,5,,,,,,,64203626,chr1,gene_body,UBE2U
612,chr1_64203627,10,3,,,,,,,64203627,chr1,gene_body,UBE2U
612,chr1_64203640,6,5,,,,,,,64203640,chr1,gene_body,UBE2U
612,chr1_64203641,2,0,,,,,,,64203641,chr1,gene_body,UBE2U
612,chr1_64203645,23,26,0.910326086956522,0.91025641025641,6.96767001114873e-05,0.536214419793977,1,hyper,64203645,chr1,gene_body,UBE2U
612,chr1_64203646,1,0,,,,,,,64203646,chr1,gene_body,UBE2U
612,chr1_64203653,23,26,0.940217391304348,0.940934065934066,-0.000716674629718139,1,1,hypo,64203653,chr1,gene_body,UBE2U
612,chr1_64203672,23,26,0.953804347826087,0.951236263736264,0.00256808408982323,0.774593525353404,1,hyper,64203672,chr1,gene_body,UBE2U
612,chr1_64203673,1,0,,,,,,,64203673,chr1,gene_body,UBE2U
612,chr1_64203701,23,26,0.965579710144928,0.975274725274725,-0.00969501512979776,1,1,hypo,64203701,chr1,gene_body,UBE2U
612,chr1_64203702,24,28,0.906944444444444,0.950113378684807,-0.0431689342403628,0.275265510459503,1,hypo,64203702,chr1,gene_body,UBE2U
612,chr1_64203724,23,26,0.90036231884058,0.994505494505495,-0.0941431756649148,0.131881121242823,1,hypo,64203724,chr1,gene_body,UBE2U
612,chr1_64203725,24,28,0.957638888888889,0.893707482993197,0.0639314058956917,0.381015305676947,1,hyper,64203725,chr1,gene_body,UBE2U
612,chr1_64203726,23,26,0.918478260869565,0.989697802197802,-0.0712195413282371,0.221884498480243,1,hypo,64203726,chr1,gene_body,UBE2U
612,chr1_64203727,24,28,0.929166666666667,0.904818594104308,0.0243480725623583,0.861755766136242,1,hyper,64203727,chr1,gene_body,UBE2U
612,chr1_64203729,23,26,0.985507246376812,0.980082417582418,0.0054248287943941,0.705601389491967,1,hyper,64203729,chr1,gene_body,UBE2U
612,chr1_64203730,24,28,0.958333333333333,0.946428571428571,0.011904761904762,0.524727337743608,1,hyper,64203730,chr1,gene_body,UBE2U
612,chr1_64203732,23,26,0.804347826086957,0.978021978021978,-0.173674151935021,0.0408348396261028,1,hypo,64203732,chr1,gene_body,UBE2U
612,chr1_64203733,24,28,0.920833333333333,0.85062358276644,0.0702097505668934,0.595404765328174,1,hyper,64203733,chr1,gene_body,UBE2U
612,chr1_64203750,24,28,0.925,0.886904761904762,0.0380952380952382,0.971392812444127,1,hyper,64203750,chr1,gene_body,UBE2U
612,chr1_64203789,1,1,,,,,,,64203789,chr1,gene_body,UBE2U
612,chr1_64203790,5,0,,,,,,,64203790,chr1,gene_body,UBE2U
612,chr1_64203805,5,1,,,,,,,64203805,chr1,gene_body,UBE2U
612,chr1_64203806,2,1,,,,,,,64203806,chr1,gene_body,UBE2U
612,chr1_64203808,5,1,,,,,,,64203808,chr1,gene_body,UBE2U
612,chr1_64203809,2,1,,,,,,,64203809,chr1,gene_body,UBE2U
612,chr1_64203838,2,1,,,,,,,64203838,chr1,gene_body,UBE2U
612,chr1_64203839,2,0,,,,,,,64203839,chr1,gene_body,UBE2U
612,chr1_64203849,2,1,,,,,,,64203849,chr1,gene_body,UBE2U
612,chr1_64203850,2,0,,,,,,,64203850,chr1,gene_body,UBE2U
612,chr1_64203917,1,0,,,,,,,64203917,chr1,gene_body,UBE2U
612,chr1_64204057,0,1,,,,,,,64204057,chr1,gene_body,UBE2U
612,chr1_64204659,1,0,,,,,,,64204659,chr1,gene_body,UBE2U
612,chr1_64204660,1,0,,,,,,,64204660,chr1,gene_body,UBE2U
612,chr1_64204904,0,1,,,,,,,64204904,chr1,gene_body,UBE2U
612,chr1_64205804,1,0,,,,,,,64205804,chr1,gene_body,UBE2U
612,chr1_64206497,1,0,,,,,,,64206497,chr1,gene_body,UBE2U
612,chr1_64209482,1,0,,,,,,,64209482,chr1,gene_body,UBE2U
612,chr1_64209549,1,0,,,,,,,64209549,chr1,gene_body,UBE2U
612,chr1_64210315,1,0,,,,,,,64210315,chr1,gene_body,UBE2U
612,chr1_64211225,1,0,,,,,,,64211225,chr1,gene_body,UBE2U
612,chr1_64214757,1,0,,,,,,,64214757,chr1,gene_body,UBE2U
612,chr1_64214971,1,0,,,,,,,64214971,chr1,gene_body,UBE2U
612,chr1_64215023,2,0,,,,,,,64215023,chr1,gene_body,UBE2U
612,chr1_64215030,16,19,0.993429487179487,0.932330827067669,0.0610986601118181,0.870893812070283,1,hyper,64215030,chr1,gene_body,UBE2U
612,chr1_64215091,16,19,0.551442307692308,0.649749373433584,-0.0983070657412762,0.4301684180951,1,hypo,64215091,chr1,gene_body,UBE2U
612,chr1_64215123,2,0,,,,,,,64215123,chr1,gene_body,UBE2U
612,chr1_64215124,16,21,0.980921052631579,0.860260770975057,0.120660281656522,0.179202663073631,1,hyper,64215124,chr1,gene_body,UBE2U
612,chr1_64215172,16,21,0.993421052631579,1,-0.00657894736842102,0.864864864864865,1,hypo,64215172,chr1,gene_body,UBE2U
612,chr1_64215180,16,21,0.96875,0.980952380952381,-0.0122023809523809,0.864864864864865,1,hypo,64215180,chr1,gene_body,UBE2U
612,chr1_64215206,3,1,,,,,,,64215206,chr1,gene_body,UBE2U
612,chr1_64215212,2,2,,,,,,,64215212,chr1,gene_body,UBE2U
612,chr1_64215654,0,1,,,,,,,64215654,chr1,gene_body,UBE2U
612,chr1_64216453,3,0,,,,,,,64216453,chr1,gene_body,UBE2U
612,chr1_64216530,4,0,,,,,,,64216530,chr1,gene_body,UBE2U
612,chr1_64216547,1,0,,,,,,,64216547,chr1,gene_body,UBE2U
612,chr1_64216584,2,2,,,,,,,64216584,chr1,gene_body,UBE2U
612,chr1_64216603,0,2,,,,,,,64216603,chr1,gene_body,UBE2U
612,chr1_64216643,0,2,,,,,,,64216643,chr1,gene_body,UBE2U
612,chr1_64218042,0,1,,,,,,,64218042,chr1,gene_body,UBE2U
612,chr1_64219656,1,0,,,,,,,64219656,chr1,gene_body,UBE2U
612,chr1_64219820,1,0,,,,,,,64219820,chr1,gene_body,UBE2U
612,chr1_64219890,1,0,,,,,,,64219890,chr1,gene_body,UBE2U
612,chr1_64220316,1,1,,,,,,,64220316,chr1,gene_body,UBE2U
612,chr1_64221206,0,1,,,,,,,64221206,chr1,gene_body,UBE2U
612,chr1_64221215,0,1,,,,,,,64221215,chr1,gene_body,UBE2U
612,chr1_64221944,3,1,,,,,,,64221944,chr1,gene_body,UBE2U
612,chr1_64221948,3,1,,,,,,,64221948,chr1,gene_body,UBE2U
612,chr1_64221980,3,1,,,,,,,64221980,chr1,gene_body,UBE2U
612,chr1_64222880,1,0,,,,,,,64222880,chr1,gene_body,UBE2U
612,chr1_64223103,2,0,,,,,,,64223103,chr1,gene_body,UBE2U
612,chr1_64224107,1,0,,,,,,,64224107,chr1,gene_body,UBE2U
612,chr1_64224444,3,0,,,,,,,64224444,chr1,gene_body,UBE2U
612,chr1_64224488,15,17,0.8,0.959803921568627,-0.159803921568627,0.567575083426029,1,hypo,64224488,chr1,gene_body,UBE2U
612,chr1_64224493,15,17,0.866666666666667,0.96078431372549,-0.0941176470588235,0.638487208008899,1,hypo,64224493,chr1,gene_body,UBE2U
612,chr1_64224552,12,13,0.793650793650794,0.907692307692308,-0.114041514041514,0.38832298136646,1,hypo,64224552,chr1,gene_body,UBE2U
612,chr1_64224592,12,13,0.983193277310924,1,-0.0168067226890757,0.44,1,hypo,64224592,chr1,gene_body,UBE2U
612,chr1_64224594,12,13,0.994047619047619,0.969230769230769,0.0248168498168498,1,1,hyper,64224594,chr1,gene_body,UBE2U
612,chr1_64224638,12,13,0.995098039215686,0.807692307692308,0.187405731523379,0.248695652173913,1,hyper,64224638,chr1,gene_body,UBE2U
612,chr1_64224648,2,0,,,,,,,64224648,chr1,gene_body,UBE2U
612,chr1_64224671,1,0,,,,,,,64224671,chr1,gene_body,UBE2U
612,chr1_64224679,1,0,,,,,,,64224679,chr1,gene_body,UBE2U
612,chr1_64224709,1,0,,,,,,,64224709,chr1,gene_body,UBE2U
612,chr1_64225177,1,0,,,,,,,64225177,chr1,gene_body,UBE2U
612,chr1_64225641,0,1,,,,,,,64225641,chr1,gene_body,UBE2U
612,chr1_64225697,1,0,,,,,,,64225697,chr1,gene_body,UBE2U
612,chr1_64225700,1,0,,,,,,,64225700,chr1,gene_body,UBE2U
612,chr1_64225719,1,0,,,,,,,64225719,chr1,gene_body,UBE2U
612,chr1_64227026,1,0,,,,,,,64227026,chr1,gene_body,UBE2U
612,chr1_64227519,0,1,,,,,,,64227519,chr1,gene_body,UBE2U
612,chr1_64227527,1,1,,,,,,,64227527,chr1,gene_body,UBE2U
612,chr1_64227591,1,1,,,,,,,64227591,chr1,gene_body,UBE2U
612,chr1_64227592,1,0,,,,,,,64227592,chr1,gene_body,UBE2U
612,chr1_64227657,1,0,,,,,,,64227657,chr1,gene_body,UBE2U
