region_id,chr,start,end,symbol,direction,delta_beta,n_cpg,n_cpg_with_mqtl,pct_cpg_mqtl,n_mqtl_pairs
100469,chr3,4830600,4831801,,hyper,0.134312645388964,1,0,0.0,0
74671,chrX,131802600,131803601,,hyper,0.101245601737361,0,0,,0
11016,chr5,141620876,141636849,HDAC3,hyper,0.112140562146512,9,3,33.3,298
18867,chr10,114792371,114821669,LOC124902508,hyper,0.119359869039061,6,4,66.7,1108
21206,chr12,43758944,43798307,IRAK4,hyper,0.108547590234758,10,2,20.0,749
81213,chr17,50943200,50945401,,hyper,0.120930927427941,5,2,40.0,869
18201,chr10,125823546,125853695,BCCIP,hyper,0.145349383002927,9,4,44.4,2179
30739,chr19,6175873,6199572,LOC105372255,hyper,0.106874320749611,5,2,40.0,7
62784,chr17,38823838,38827837,MIR4727,hyper,0.10819391485631,13,2,15.4,285
105670,chr5,138211800,138214600,,hyper,0.104647285137741,11,2,18.2,662
87114,chr17,38823800,38826201,,hyper,0.114113829952521,0,0,,0
3405,chr1,234745771,234772742,LOC105373210,hyper,0.114893231444411,7,4,57.1,73
63788,chr17,48154512,48158511,MIR1203,hyper,0.143881019503913,4,3,75.0,2109
26358,chr16,57462660,57472009,POLR2C,hyper,0.21556026233436,7,3,42.9,633
2476,chr1,94974405,95072951,ALG14,hyper,0.106410770875504,15,1,6.7,145
19690,chr11,86201212,86279807,EED,hyper,0.100448154986886,20,4,20.0,1062
24986,chr15,42548828,42569994,HAUS2,hyper,0.101770098889175,10,0,0.0,0
57400,chr12,55645245,55649244,LOC124902940,hyper,0.14479742803152,6,6,100.0,535
2861,chr1,157225321,157279507,LOC105371456,hyper,0.116637747931916,5,1,20.0,814
1165,chr1,157273701,157283968,LINC02772,hyper,0.115742421793182,0,0,,0
38022,chr1,157277508,157281507,LOC105371456,hyper,0.116509212285689,0,0,,0
603,chr1,63173145,63198684,LOC105378770,hypo,-0.132146810648407,0,0,,0
9563,chr5,2266857,2278497,LOC124901166,hypo,-0.106859617002904,0,0,,0
83412,chr1,32765200,32767201,,hypo,-0.147912625439852,9,2,22.2,197
2887,chr1,159346166,159469068,LOC124904433,hypo,-0.149080175532624,5,2,40.0,861
93132,chr18,77014000,77014401,,hypo,-0.136310236100049,1,1,100.0,81
27720,chr17,44186970,44191929,TMUB2,hyper,0.119824459194859,12,1,8.3,24
8983,chr4,48063158,48134250,TXK,hypo,-0.117004035742952,4,3,75.0,2166
66253,chr19,36526272,36530271,ZNF260,hyper,0.102908220169841,12,5,41.7,5260
612,chr1,64203623,64267368,UBE2U,hypo,-0.103070374147653,10,9,90.0,4620
5890,chr2,230520594,230589562,LOC112268431,hypo,-0.105760250499749,1,1,100.0,48
37915,chr1,151851713,151855712,THEM5,hypo,-0.111594476680604,9,5,55.6,1292
64783,chr18,75519945,75523944,LOC105372202,hypo,-0.108318446397695,0,0,,0
13497,chr7,100307702,100322372,SPDYE3,hypo,-0.131901236749955,4,0,0.0,0
27412,chr17,12549528,12642854,LINC00670,hypo,-0.11366139903645,14,4,28.6,167
14324,chr7,95297676,95324532,PON1,hypo,-0.102027475482249,9,6,66.7,5827
5909,chr2,232543883,232550557,TIGD1,hypo,-0.10838558963307,10,4,40.0,798
16058,chr9,22640681,22824213,LINC01239,hypo,-0.117627153515771,1,0,0.0,0
22933,chr13,51861969,51866232,CCDC70,hypo,-0.127864093953722,3,0,0.0,0
86046,chr19,36526601,36529800,,hyper,0.108145997080737,0,0,,0
40427,chr2,95831964,95835963,LINC00342,hypo,-0.100336424645044,0,0,,0
3260,chr1,218894466,219173961,LYPLAL1-DT,hyper,0.138973914375161,11,5,45.5,1100
29437,chr18,27305110,27392867,LOC105372038,hypo,-0.118568150139252,0,0,,0
105675,chr12,10153200,10154601,,hyper,0.106298116333453,3,1,33.3,25
84604,chr17,39449600,39452401,,hypo,-0.13923543991367,10,2,20.0,2577
63782,chr17,47955884,47959883,PRR15L,hypo,-0.132460365641369,9,5,55.6,1906
47283,chr6,170436362,170440361,LOC107986676,hyper,0.1276404842213,2,2,100.0,732
32352,chr20,45886491,45887622,SPATA25,hypo,-0.175138920049009,2,0,0.0,0
12122,chr6,170438362,170441020,LOC107986676,hyper,0.125698536680276,0,0,,0
43097,chr3,195013194,195017193,LOC105374295,hypo,-0.100357367458035,0,0,,0
58104,chr13,53026813,53030812,OLFM4,hypo,-0.107283300012923,6,5,83.3,1716
52552,chr9,134215920,134219919,LOC107987137,hypo,-0.13992284561962,2,1,50.0,25
16641,chr9,134216220,134220291,LOC101928384,hypo,-0.14146325323454,1,1,100.0,20
38086,chr1,161175969,161179968,B4GALT3,hyper,0.127971940547265,10,1,10.0,71
2925,chr1,161171310,161177968,B4GALT3,hyper,0.139463253642678,2,1,50.0,20
13097,chr7,22854254,22892869,LOC124901600,hyper,0.114866127488091,11,4,36.4,3520
70418,chr11,27505200,27508001,,hyper,0.189353467307625,13,1,7.7,46
41612,chr3,99815837,99819836,CMSS1,hyper,0.113883083878928,17,7,41.2,2654
41613,chr3,99815912,99819911,LOC105374010,hyper,0.113883083878928,0,0,,0
61757,chr16,89318452,89322451,LOC100287036,hypo,-0.162507267434356,10,8,80.0,7369
95458,chr16,70687600,70691201,,hypo,-0.149866405898836,2,0,0.0,0
42116,chr3,194581991,194585990,TMEM44-AS1,hyper,0.103899815540066,9,3,33.3,344
49802,chr7,151431640,151435639,MIR3907,hypo,-0.114262538590628,6,1,16.7,473
66708,chr20,2662352,2666351,IDH3B-DT,hyper,0.111985801401688,13,4,30.8,430
67222,chr20,2662220,2666219,IDH3B,hyper,0.112128877282425,0,0,,0
21412,chr12,59596029,59789855,SLC16A7,hyper,0.104738715733098,15,4,26.7,1038
106528,chr3,49899800,49904601,,hyper,0.101939790675457,16,5,31.2,5247
87303,chr21,41681400,41681601,,hypo,-0.17505298006724,0,0,,0
67054,chr20,50583786,50587785,MIR645,hypo,-0.121060043642021,6,0,0.0,0
54354,chr11,27504808,27508807,BDNF-AS,hyper,0.112368795770962,0,0,,0
55383,chr11,27504770,27508769,LIN7C,hyper,0.112368795770962,0,0,,0
12268,chr6,25723397,25832052,SLC17A1,hypo,-0.118554151372849,41,21,51.2,13210
98401,chr2,121735000,121738001,,hyper,0.102712554476292,14,2,14.3,2364
22387,chr12,78303353,78359746,LINC02424,hypo,-0.117750308522635,1,1,100.0,44
8537,chr4,121801318,121817021,EXOSC9,hyper,0.104149988050369,6,2,33.3,478
102983,chr17,76132400,76133001,,hypo,-0.100052677581304,1,1,100.0,313
22275,chr12,57028517,57051198,MYO1A,hypo,-0.156083785515757,5,1,20.0,294
3554,chr2,11371440,11386310,LOC124907734,hypo,-0.178437896759777,5,3,60.0,1229
56107,chr11,129893591,129897590,NFRKB,hyper,0.101583997421935,11,4,36.4,310
87376,chr17,78365200,78365801,,hyper,0.120966801086557,0,0,,0
45289,chr5,140637435,140641434,TMCO6,hyper,0.107242781836889,15,3,20.0,1153
30748,chr19,6426037,6433779,SLC25A41,hypo,-0.108087854197687,4,2,50.0,25
2482,chr1,96254069,96374125,LINC01787,hypo,-0.15045478074135,2,2,100.0,829
99751,chr9,33287600,33292001,,hyper,0.110757286098507,6,2,33.3,553
1211,chr1,161118086,161125445,NIT1,hyper,0.110122641681297,14,4,28.6,758
54793,chr11,73874699,73878698,PAAF1,hyper,0.159605008853309,14,3,21.4,1404
89961,chr5,140638600,140640801,,hyper,0.105876279909758,0,0,,0
10080,chr5,135821706,135826584,LOC107986453,hypo,-0.11556077052412,1,0,0.0,0
66651,chr19,57914611,57918610,ZNF417,hyper,0.126272415995738,10,1,10.0,592
100550,chr19,57915000,57917601,,hyper,0.126938007165419,0,0,,0
71427,chr1,43932001,43932201,,hypo,-0.14698824114852,0,0,,0
61928,chr16,14368336,14372335,LINC02130,hypo,-0.110674215351169,0,0,,0
35264,chr1,10030832,10034831,UBE4B,hyper,0.10136539684009,12,1,8.3,9
66533,chr19,51082246,51086245,KLK14,hypo,-0.160263715043127,6,3,50.0,119
89338,chr16,89319600,89321601,,hypo,-0.139827166828499,0,0,,0
69721,chrX,48194796,48198795,SSX5,hypo,-0.140234310974797,6,0,0.0,0
10016,chr5,125358095,125602227,LINC02240,hypo,-0.110365790332844,10,7,70.0,973
31606,chr20,12506863,12606143,LOC124904871,hypo,-0.170807684303327,0,0,,0
13180,chr7,35352291,35387339,LOC105375230,hyper,0.18658174187493,1,1,100.0,325
38071,chr1,160709832,160713831,CD48,hyper,0.113575752673324,6,3,50.0,181
88335,chr16,87778600,87779201,,hyper,0.109685123055309,1,1,100.0,202
31974,chr20,62352970,62356482,LAMA5-AS1,hypo,-0.118518902865828,0,0,,0
99952,chr17,795000,795601,,hypo,-0.124557753556198,3,3,100.0,1065
105240,chr1,160705200,160713401,,hyper,0.121961476936806,1,0,0.0,0
31435,chr19,54514203,54527171,LOC105372460,hypo,-0.169782981562633,4,2,50.0,624
28364,chr17,28363506,28368012,SEBOX,hypo,-0.139976928055455,8,3,37.5,974
62596,chr17,16378798,16382797,UBB,hyper,0.107092122653869,18,0,0.0,0
105900,chr11,65870200,65871201,,hypo,-0.131337177121248,1,1,100.0,437
60662,chr15,43797134,43801133,ELL3,hyper,0.10366311231423,12,0,0.0,0
63444,chr17,16378675,16382674,LOC124903937,hyper,0.106538412797834,0,0,,0
55768,chr11,73874902,73878901,COA4,hyper,0.116388098054877,0,0,,0
63007,chr17,59195566,59199565,SMG8,hypo,-0.107638003899293,0,0,,0
12522,chr6,53978549,54079726,MLIP-AS1,hypo,-0.137220945624369,9,9,100.0,3622
61706,chr16,85128343,85132342,LINC02139,hypo,-0.157191658246287,1,0,0.0,0
81229,chr11,73875200,73878401,,hyper,0.115354698583977,0,0,,0
258,chr1,25041136,25047404,LINC02793,hypo,-0.112173893297538,0,0,,0
71018,chr14,101808600,101813001,,hyper,0.142462090839967,7,0,0.0,0
33406,chr22,18533646,18577968,PI4KAP1,hyper,0.134663784882171,5,0,0.0,0
91132,chr3,185281800,185284601,,hyper,0.111490117834887,7,5,71.4,195
30451,chr19,53277462,53284947,FAM90A27P,hypo,-0.131898104892206,0,0,,0
59865,chr14,101808322,101812321,LOC124903388,hyper,0.13898059444033,1,0,0.0,0
59878,chr14,103511443,103515442,LOC112268130,hypo,-0.167052880016234,1,1,100.0,687
13179,chr7,35313775,35377073,LOC401324,hyper,0.15534743442325,0,0,,0
1673,chr1,234751467,234775831,LOC107985364,hyper,0.127798272195652,1,0,0.0,0
105197,chr2,28956400,28957201,,hypo,-0.219628384927296,0,0,,0
